instant,date,season,temp,humi,windspeed,casual,registered
137,17/5/2011,2,56.167,8.379,2.774,678,3445
138,18/5/2011,2,55.000,8.700,2.015,536,3319
139,19/5/2011,2,53.083,8.296,1.082,735,3840
140,20/5/2011,2,53.667,7.196,1.250,909,4008
141,21/5/2011,2,60.250,6.267,1.207,2258,3547
142,22/5/2011,2,60.417,7.496,1.480,1576,3084
143,23/5/2011,2,63.167,8.100,2.338,836,3438
144,24/5/2011,2,66.000,7.408,2.071,659,3833
145,25/5/2011,2,66.083,6.963,1.542,740,4238
146,26/5/2011,2,70.833,6.775,1.996,758,3919
147,27/5/2011,2,68.167,6.538,2.407,871,3808
148,28/5/2011,2,65.583,7.296,2.301,2001,2757
149,29/5/2011,2,66.750,8.188,2.139,2355,2433
150,30/5/2011,2,73.333,6.850,1.312,1549,2549
151,31/5/2011,2,77.500,6.367,1.113,673,3309
152,1/6/2011,2,76.417,6.771,2.071,513,3461
153,2/6/2011,2,71.500,3.050,2.923,736,4232
154,3/6/2011,2,62.000,3.542,2.531,898,4414
155,4/6/2011,2,63.500,4.563,1.231,1869,3473
156,5/6/2011,2,64.833,6.525,1.387,1685,3221
157,6/6/2011,2,67.833,6.000,1.219,673,3875
158,7/6/2011,2,70.750,5.979,1.878,763,4070
159,8/6/2011,2,77.583,6.221,1.368,676,3725
160,9/6/2011,2,80.833,5.683,1.499,563,3352
161,10/6/2011,2,75.500,6.050,1.406,815,3771
162,11/6/2011,2,72.500,6.546,1.549,1729,3237
163,12/6/2011,2,69.250,7.479,1.636,1467,2993
164,13/6/2011,2,63.500,4.946,3.054,863,4157
165,14/6/2011,2,60.417,5.071,2.693,727,4164
166,15/6/2011,2,62.667,4.717,1.679,769,4411
167,16/6/2011,2,62.833,6.883,2.065,545,3222
168,17/6/2011,2,64.917,7.358,1.430,863,3981
169,18/6/2011,2,69.667,6.704,1.194,1807,3312
170,19/6/2011,2,69.917,6.667,1.020,1639,3105
171,20/6/2011,2,63.500,7.463,1.555,699,3311
172,21/6/2011,3,68.083,7.704,1.710,774,4061
173,22/6/2011,3,73.333,7.075,1.723,661,3846
174,23/6/2011,3,72.833,7.033,2.388,746,4044
175,24/6/2011,3,72.417,5.733,2.220,969,4022
176,25/6/2011,3,69.500,4.833,2.096,1782,3420
177,26/6/2011,3,68.000,5.133,0.945,1920,3385
178,27/6/2011,3,68.250,6.583,1.076,854,3854
179,28/6/2011,3,74.417,6.342,1.443,732,3916
180,29/6/2011,3,72.833,4.979,2.618,848,4377
181,30/6/2011,3,69.667,4.342,1.853,1027,4488
182,1/7/2011,3,72.250,3.963,1.026,1246,4116
183,2/7/2011,3,73.833,4.446,1.151,2204,2915
184,3/7/2011,3,71.667,6.825,2.289,2282,2367
185,4/7/2011,3,72.667,6.379,0.815,3065,2978
186,5/7/2011,3,74.667,5.904,1.263,1031,3634
187,6/7/2011,3,72.000,7.433,1.499,784,3845
188,7/7/2011,3,75.000,6.513,1.592,754,3838
189,8/7/2011,3,70.917,7.579,2.251,692,3348
190,9/7/2011,3,73.333,6.092,1.679,1988,3348
191,10/7/2011,3,74.750,5.783,1.835,1743,3138
192,11/7/2011,3,76.250,6.358,2.823,723,3363
193,12/7/2011,3,79.417,5.592,2.003,662,3596
194,13/7/2011,3,74.667,6.317,1.461,748,3594
195,14/7/2011,3,68.083,4.763,2.407,888,4196
196,15/7/2011,3,66.333,5.913,1.828,1318,4220
197,16/7/2011,3,68.667,5.850,2.083,2418,3505
198,17/7/2011,3,71.917,6.042,2.450,2006,3296
199,18/7/2011,3,74.667,6.513,2.158,841,3617
200,19/7/2011,3,77.667,6.504,1.306,752,3789
201,20/7/2011,3,76.833,7.071,1.138,644,3688
202,21/7/2011,3,81.500,6.913,2.220,632,3152
203,22/7/2011,3,84.833,5.804,1.331,562,2825
204,23/7/2011,3,84.917,5.000,1.312,987,2298
205,24/7/2011,3,83.000,5.508,1.692,1050,2556
206,25/7/2011,3,74.333,7.571,0.908,568,3272
207,26/7/2011,3,77.167,5.408,2.003,750,3840
208,27/7/2011,3,77.500,4.029,1.835,755,3901
209,28/7/2011,3,77.917,5.833,1.785,606,3784
210,29/7/2011,3,83.833,5.425,1.741,670,3176
211,30/7/2011,3,80.417,4.658,1.685,1559,2916
212,31/7/2011,3,80.583,4.808,1.648,1524,2778
213,1/8/2011,3,77.167,5.508,1.567,729,3537
214,2/8/2011,3,78.333,4.913,2.059,801,4044
215,3/8/2011,3,73.167,6.575,1.356,467,3107
216,4/8/2011,3,71.000,7.575,1.972,799,3777
217,5/8/2011,3,71.083,6.308,1.847,1023,3843
218,6/8/2011,3,71.667,7.550,2.283,1521,2773
219,7/8/2011,3,74.250,7.529,2.015,1298,2487
220,8/8/2011,3,76.500,5.921,1.922,846,3480
221,9/8/2011,3,77.500,5.704,1.511,907,3695
222,10/8/2011,3,76.667,4.242,2.003,884,3896
223,11/8/2011,3,71.750,4.238,1.648,812,3980
224,12/8/2011,3,70.833,4.150,1.256,1051,3854
225,13/8/2011,3,68.583,7.296,2.115,1504,2646
226,14/8/2011,3,67.667,8.175,2.226,1338,2482
227,15/8/2011,3,66.583,7.121,2.090,775,3563
228,16/8/2011,3,70.083,5.783,2.363,721,4004
229,17/8/2011,3,72.333,5.754,1.437,668,4026
230,18/8/2011,3,71.167,6.546,2.332,639,3166
231,19/8/2011,3,68.500,7.229,1.393,797,3356
232,20/8/2011,3,69.750,6.742,1.045,1914,3277
233,21/8/2011,3,71.083,7.700,2.488,1249,2624
234,22/8/2011,3,69.167,4.700,2.768,833,3925
235,23/8/2011,3,64.083,4.554,1.468,1281,4614
236,24/8/2011,3,67.333,6.050,2.531,949,4181
237,25/8/2011,3,68.417,7.717,2.108,435,3107
238,26/8/2011,3,70.000,7.613,0.840,768,3893
239,27/8/2011,3,68.000,8.500,3.756,226,889
240,28/8/2011,3,70.706,5.618,3.047,1415,2919
241,29/8/2011,3,63.667,5.546,1.598,729,3905
242,30/8/2011,3,63.917,5.483,1.250,775,4429
243,31/8/2011,3,65.667,5.979,0.833,688,4370
244,1/9/2011,3,65.500,6.392,1.418,783,4332
245,2/9/2011,3,64.333,7.271,1.399,875,3852
246,3/9/2011,3,66.917,7.167,1.853,1935,2549
247,4/9/2011,3,70.917,7.421,2.065,2521,2419
248,5/9/2011,3,67.333,7.904,2.127,1236,2115
249,6/9/2011,3,54.000,8.870,3.439,204,2506
250,7/9/2011,3,59.917,9.171,0.970,118,1878
251,8/9/2011,3,63.391,9.396,1.927,153,1689
252,9/9/2011,3,65.000,8.979,1.244,417,3127
253,10/9/2011,3,66.000,7.538,1.536,1750,3595
254,11/9/2011,3,65.333,7.138,1.151,1633,3413
255,12/9/2011,3,64.435,6.922,0.889,690,4023
256,13/9/2011,3,65.083,7.125,1.418,701,4062
257,14/9/2011,3,67.333,6.971,1.673,647,4138
258,15/9/2011,3,57.750,7.092,2.711,428,3231
259,16/9/2011,3,46.917,5.904,1.642,742,4018
260,17/9/2011,3,49.167,7.183,1.897,1434,3077
261,18/9/2011,3,50.750,6.950,1.785,1353,2921
262,19/9/2011,3,54.917,6.900,1.517,691,3848
263,20/9/2011,3,56.167,8.813,1.350,438,3203
264,21/9/2011,3,59.500,9.000,0.964,539,3813
265,22/9/2011,3,62.833,9.021,1.281,555,4240
266,23/9/2011,4,60.917,9.725,0.784,258,2137
267,24/9/2011,4,60.667,8.625,0.784,1776,3647
268,25/9/2011,4,63.417,8.450,0.504,1544,3466
269,26/9/2011,4,64.917,8.483,1.107,684,3946
270,27/9/2011,4,63.667,8.854,1.182,477,3643
271,28/9/2011,4,63.500,8.488,1.486,480,3427
272,29/9/2011,4,61.667,6.992,1.729,653,4186
273,30/9/2011,4,56.417,6.475,2.065,830,4372
274,1/10/2011,4,41.000,7.538,2.923,480,1949
275,2/10/2011,4,35.667,7.917,2.220,616,2302
276,3/10/2011,4,38.417,7.608,0.833,330,3240
277,4/10/2011,4,48.417,7.100,2.059,486,3970
278,5/10/2011,4,53.833,6.479,1.773,559,4267
279,6/10/2011,4,49.417,6.208,1.350,639,4126
280,7/10/2011,4,51.083,6.842,0.224,949,4036
281,8/10/2011,4,52.167,7.013,0.454,2235,3174
282,9/10/2011,4,54.083,7.275,0.635,2397,3114
283,10/10/2011,4,57.083,7.338,0.423,1514,3603
284,11/10/2011,4,56.667,8.088,1.430,667,3896
285,12/10/2011,4,54.333,9.063,2.482,217,2199
286,13/10/2011,4,58.917,8.967,1.418,290,2623
287,14/10/2011,4,55.083,7.163,2.239,529,3115
288,15/10/2011,4,50.667,4.833,2.581,1899,3318
289,16/10/2011,4,51.167,4.867,2.817,1748,3293
290,17/10/2011,4,53.417,5.796,1.754,713,3857
291,18/10/2011,4,53.250,7.017,1.101,637,4111
292,19/10/2011,4,54.174,8.952,2.433,254,2170
293,20/10/2011,4,47.583,6.363,4.223,471,3724
294,21/10/2011,4,42.750,5.742,2.214,676,3628
295,22/10/2011,4,42.250,6.292,0.927,1499,2809
296,23/10/2011,4,42.167,7.413,0.995,1619,2762
297,24/10/2011,4,46.333,7.721,1.188,699,3488
298,25/10/2011,4,47.167,6.229,1.667,695,3992
299,26/10/2011,4,48.417,7.204,1.486,404,3490
300,27/10/2011,4,47.000,8.129,1.978,240,2419
301,28/10/2011,4,33.083,5.858,2.295,456,3291
302,29/10/2011,4,25.417,8.825,3.514,57,570
303,30/10/2011,4,31.917,6.238,1.766,885,2446
304,31/10/2011,4,34.000,7.033,1.064,362,3307
305,1/11/2011,4,40.083,6.838,1.356,410,3658
306,2/11/2011,4,37.750,7.188,0.821,370,3816
307,3/11/2011,4,40.833,7.021,1.368,318,3656
308,4/11/2011,4,40.333,6.225,2.718,470,3576
309,5/11/2011,4,32.667,5.192,1.891,1156,2770
310,6/11/2011,4,34.833,7.346,0.921,952,2697
311,7/11/2011,4,39.500,7.588,0.572,373,3662
312,8/11/2011,4,40.833,7.217,0.690,376,3829
313,9/11/2011,4,40.000,7.583,0.622,305,3804
314,10/11/2011,4,38.000,8.133,1.891,190,2743
315,11/11/2011,4,32.417,4.463,3.147,440,2928
316,12/11/2011,4,35.667,5.529,2.121,1275,2792
317,13/11/2011,4,44.083,4.583,2.817,1004,2713
318,14/11/2011,4,53.000,5.871,3.066,595,3891
319,15/11/2011,4,53.000,6.888,1.996,449,3746
320,16/11/2011,4,45.667,9.300,1.368,145,1672
321,17/11/2011,4,34.167,5.758,3.054,139,2914
322,18/11/2011,4,27.417,4.100,1.685,245,3147
323,19/11/2011,4,32.917,5.021,2.245,943,2720
324,20/11/2011,4,46.333,6.846,1.860,787,2733
325,21/11/2011,4,44.750,9.100,1.381,220,2545
326,22/11/2011,4,41.667,9.625,1.188,69,1538
327,23/11/2011,4,44.083,7.579,3.358,112,2454
328,24/11/2011,4,37.333,5.492,1.673,560,935
329,25/11/2011,4,37.500,6.438,0.989,1095,1697
330,26/11/2011,4,37.583,6.817,0.684,1249,1819
331,27/11/2011,4,45.917,6.983,2.090,810,2261
332,28/11/2011,4,50.348,7.430,1.421,253,3614
333,29/11/2011,4,45.833,8.308,2.581,96,2818
334,30/11/2011,4,32.500,6.133,2.712,188,3425
335,1/12/2011,4,31.250,5.246,2.202,182,3545
336,2/12/2011,4,31.417,6.258,1.008,268,3672
337,3/12/2011,4,29.917,6.129,0.958,706,2908
338,4/12/2011,4,33.083,7.758,0.840,634,2851
339,5/12/2011,4,38.583,8.271,0.622,233,3578
340,6/12/2011,4,46.250,9.496,2.326,126,2468
341,7/12/2011,4,41.000,9.704,2.662,50,655
342,8/12/2011,4,26.583,5.800,2.401,150,3172
343,9/12/2011,4,29.083,6.958,0.827,261,3359
344,10/12/2011,4,27.500,5.075,2.332,502,2688
345,11/12/2011,4,22.083,4.900,0.665,377,2366
346,12/12/2011,4,23.833,6.708,0.635,143,3167
347,13/12/2011,4,28.250,5.900,1.406,155,3368
348,14/12/2011,4,31.750,6.638,0.610,178,3562
349,15/12/2011,4,42.250,6.342,2.680,181,3528
350,16/12/2011,4,37.500,5.004,2.606,178,3399
351,17/12/2011,4,25.833,5.608,2.432,275,2464
352,18/12/2011,4,23.833,5.863,1.698,220,2211
353,19/12/2011,4,27.667,6.375,1.729,260,3143
354,20/12/2011,4,38.583,5.954,0.616,216,3534
355,21/12/2011,1,42.833,8.583,2.214,107,2553
356,22/12/2011,1,42.333,7.575,0.473,227,2841
357,23/12/2011,1,37.333,6.863,2.742,163,2046
358,24/12/2011,1,30.250,5.425,1.903,155,856
359,25/12/2011,1,27.478,6.813,1.551,303,451
360,26/12/2011,1,32.174,5.070,2.395,430,887
361,27/12/2011,1,32.500,7.625,1.885,103,1059
362,28/12/2011,1,29.913,5.039,2.940,255,2047
363,29/12/2011,1,24.833,5.742,1.194,254,2169
364,30/12/2011,1,31.167,6.367,1.343,491,2508
365,31/12/2011,1,41.000,6.158,2.202,665,1820
366,1/1/2012,1,37.000,6.925,1.922,686,1608
367,2/1/2012,1,27.304,3.813,3.297,244,1707
368,3/1/2012,1,15.000,4.413,3.657,89,2147
369,4/1/2012,1,10.750,4.146,1.847,95,2273
370,5/1/2012,1,26.583,5.242,1.300,140,3132
371,6/1/2012,1,33.417,5.421,1.679,307,3791
372,7/1/2012,1,39.333,5.317,1.748,1070,3451
373,8/1/2012,1,33.750,4.650,1.915,599,2826
374,9/1/2012,1,22.417,7.017,0.989,106,2270
375,10/1/2012,1,30.870,6.465,1.876,173,3425
376,11/1/2012,1,27.417,8.475,1.312,92,2085
377,12/1/2012,1,38.250,8.029,1.810,269,3828
378,13/1/2012,1,27.417,5.075,3.781,174,3040
379,14/1/2012,1,18.000,4.575,1.872,333,2160
380,15/1/2012,1,16.667,4.192,2.513,284,2027
381,16/1/2012,1,19.000,5.225,2.314,217,2081
382,17/1/2012,1,37.304,7.161,3.491,127,2808
383,18/1/2012,1,30.333,4.433,4.154,109,3267
384,19/1/2012,1,19.000,4.975,2.202,130,3162
385,20/1/2012,1,21.750,4.500,2.028,115,3048
386,21/1/2012,1,17.333,8.313,2.226,67,1234
387,22/1/2012,1,16.250,7.963,1.996,196,1781
388,23/1/2012,1,21.833,9.113,1.107,145,2287
389,24/1/2012,1,34.250,8.358,1.238,439,3900
390,25/1/2012,1,29.417,6.438,1.611,467,3803
391,26/1/2012,1,34.167,7.696,0.734,244,3831
392,27/1/2012,1,42.500,7.413,3.427,269,3187
393,28/1/2012,1,31.583,5.433,2.108,775,3248
394,29/1/2012,1,28.250,3.113,2.401,558,2685
395,30/1/2012,1,26.917,4.008,2.158,126,3498
396,31/1/2012,1,39.000,4.167,2.618,324,4185
397,1/2/2012,1,46.917,5.079,1.891,304,4275
398,2/2/2012,1,39.917,6.729,1.872,190,3571
399,3/2/2012,1,31.333,5.267,1.785,310,3841
400,4/2/2012,1,26.417,7.796,1.219,384,2448
401,5/2/2012,1,26.583,6.879,1.760,318,2629
402,6/2/2012,1,28.261,6.222,1.538,206,3578
403,7/2/2012,1,35.417,4.963,1.474,199,4176
404,8/2/2012,1,25.667,7.229,1.337,109,2693
405,9/2/2012,1,26.500,5.621,1.940,163,3667
406,10/2/2012,1,28.083,5.400,1.169,227,3604
407,11/2/2012,1,22.417,7.313,2.898,192,1977
408,12/2/2012,1,12.750,4.646,4.092,73,1456
409,13/2/2012,1,22.250,4.113,1.673,94,3328
410,14/2/2012,1,31.917,5.088,1.412,135,3787
411,15/2/2012,1,34.833,5.313,1.816,141,4028
412,16/2/2012,1,31.667,7.529,0.914,74,2931
413,17/2/2012,1,34.333,6.346,2.058,349,3805
414,18/2/2012,1,34.667,5.346,1.909,1435,2883
415,19/2/2012,1,28.000,5.158,2.531,618,2071
416,20/2/2012,1,28.000,5.078,2.291,502,2627
417,21/2/2012,1,28.783,5.943,2.057,163,3614
418,22/2/2012,1,39.583,5.679,2.345,394,4379
419,23/2/2012,1,45.417,5.546,1.909,516,4546
420,24/2/2012,1,40.750,7.375,2.376,246,3241
421,25/2/2012,1,29.083,3.958,4.216,317,2415
422,26/2/2012,1,27.917,4.100,2.052,515,2874
423,27/2/2012,1,36.667,4.908,2.680,253,4069
424,28/2/2012,1,35.917,3.958,1.934,229,4134
425,29/2/2012,1,34.435,8.048,1.791,65,1769
426,1/3/2012,1,48.583,6.154,2.270,325,4665
427,2/3/2012,1,35.333,6.571,1.449,246,2948
428,3/3/2012,1,41.417,6.213,1.611,956,3110
429,4/3/2012,1,32.583,4.033,3.346,710,2713
430,5/3/2012,1,24.333,5.063,2.289,203,3130
431,6/3/2012,1,25.833,4.567,2.009,221,3735
432,7/3/2012,1,40.417,5.133,3.458,432,4484
433,8/3/2012,1,52.750,5.675,4.416,486,4896
434,9/3/2012,1,41.083,4.071,4.148,447,4122
435,10/3/2012,1,28.750,3.504,2.258,968,3150
436,11/3/2012,1,36.174,4.770,2.226,1658,3253
437,12/3/2012,1,46.667,4.892,2.077,838,4460
438,13/3/2012,1,56.500,6.175,2.370,762,5085
439,14/3/2012,1,57.250,5.071,1.151,997,5315
440,15/3/2012,1,55.750,5.796,1.499,1005,5187
441,16/3/2012,1,43.583,8.421,1.132,548,3830
442,17/3/2012,1,51.417,7.558,1.107,3155,4681
443,18/3/2012,1,47.250,8.100,1.269,2207,3685
444,19/3/2012,1,54.500,7.288,1.623,982,5171
445,20/3/2012,1,56.083,8.079,1.213,1051,5042
446,21/3/2012,2,53.167,8.213,0.896,1122,5108
447,22/3/2012,2,55.417,8.313,1.176,1334,5537
448,23/3/2012,2,60.167,6.942,1.163,2469,5893
449,24/3/2012,2,50.250,8.854,1.928,1033,2339
450,25/3/2012,2,43.750,8.808,2.208,1532,3464
451,26/3/2012,2,44.583,4.779,3.868,795,4763
452,27/3/2012,2,32.333,2.900,1.872,531,4571
453,28/3/2012,2,48.417,4.813,2.917,674,5024
454,29/3/2012,2,49.417,4.392,3.197,834,5299
455,30/3/2012,2,37.000,5.808,1.381,796,4663
456,31/3/2012,2,42.417,7.383,2.506,2301,3934
457,1/4/2012,2,42.583,6.763,1.723,2347,3694
458,2/4/2012,2,43.391,5.043,3.121,1208,4728
459,3/4/2012,2,46.667,3.967,1.001,1348,5424
460,4/4/2012,2,54.167,4.696,1.810,1058,5378
461,5/4/2012,2,43.500,3.742,2.195,1192,5265
462,6/4/2012,2,40.333,3.771,3.004,1807,4653
463,7/4/2012,2,43.750,2.542,2.749,3252,3605
464,8/4/2012,2,50.000,2.758,2.326,2230,2939
465,9/4/2012,2,48.917,3.175,3.582,905,4680
466,10/4/2012,2,44.667,4.350,2.494,819,5099
467,11/4/2012,2,34.870,4.696,2.953,482,4380
468,12/4/2012,2,39.750,4.663,2.904,663,4746
469,13/4/2012,2,44.250,4.083,1.555,1252,5146
470,14/4/2012,2,49.500,5.029,1.909,2795,4665
471,15/4/2012,2,60.667,5.079,2.251,2846,4286
472,16/4/2012,2,66.417,5.617,2.848,1198,5172
473,17/4/2012,2,60.833,3.904,2.736,989,5702
474,18/4/2012,2,46.333,5.692,1.679,347,4020
475,19/4/2012,2,49.833,6.125,0.659,846,5719
476,20/4/2012,2,52.667,6.946,1.499,1340,5950
477,21/4/2012,2,57.000,6.829,2.836,2541,4083
478,22/4/2012,2,39.667,8.354,3.445,120,907
479,23/4/2012,2,32.167,7.667,3.035,195,3019
480,24/4/2012,2,41.333,4.542,2.494,518,5115
481,25/4/2012,2,47.667,4.279,1.188,655,5541
482,26/4/2012,2,49.833,7.567,1.766,475,4551
483,27/4/2012,2,45.750,4.008,3.476,1014,5219
484,28/4/2012,2,37.667,4.896,1.300,1120,3100
485,29/4/2012,2,45.833,5.871,1.169,2229,4075
486,30/4/2012,2,46.417,5.700,1.716,665,4907
487,1/5/2012,2,61.333,6.596,1.561,653,5087
488,2/5/2012,2,56.417,7.971,1.381,667,5502
489,3/5/2012,2,56.000,7.683,1.337,764,5657
490,4/5/2012,2,62.750,7.354,1.629,1069,5227
491,5/5/2012,2,62.167,7.567,1.530,2496,4387
492,6/5/2012,2,56.250,7.400,1.499,2135,4224
493,7/5/2012,2,53.750,6.642,2.307,1008,5265
494,8/5/2012,2,58.167,6.858,2.960,738,4990
495,9/5/2012,2,57.500,7.442,2.164,620,4097
